Team,Player,Pass Yds,TDs,INTs,Att,Comp,Year3
Chiefs,Patrick Mahomes,4031,26,5,484,319,2019-20
Chargers,Justin Herbert,0,0,0,0,0,2019-20
Buccaneers,Tom Brady,4057,24,8,613,399,2019-20
Vikings,Kirk Cousins,3603,26,6,444,307,2019-20
Bengals,Joe Burrow,0,0,0,0,0,2019-20
Lions,Jared Goff,4638,22,16,626,394,2019-20
Bills,Josh Allen,3089,20,9,461,271,2019-20
Seahawks,Geno Smith,18,0,0,8,4,2019-20
Jaguars,Trevor Lawrence,0,0,0,0,0,2019-20
Eagles,Jalen Hurts,1061,6,4,148,77,2019-20
Packers,Aaron Rodgers,4002,26,4,569,353,2019-20
Dolphins,Tua Tagovailoa,1814,11,5,290,186,2019-20
Seahawks,Russell Wilson,4110,31,5,516,341,2019-20
Raiders,Derek Carr,4054,21,8,513,361,2019-20
Giants,Daniel Jones,3027,24,12,459,284,2019-20
Texans,Davis Mills,0,0,0,0,0,2019-20
Falcons,Matt Ryan,4466,26,14,626,408,2019-20
Patriots,Mac Jones,0,0,0,0,0,2019-20
Saints,Andy Dalton,3142,14,8,481,314,2019-20
Cowboys,Dak Prescott,4902,30,11,596,388,2019-20
Browns,Jacoby Brissett,2728,14,3,447,272,2019-20
Titans,Ryan Tannehill,2742,22,6,481,315,2019-20
49ers,Jimmy Garoppolo,1374,7,5,140,94,2019-20
Steelers  ,Kenny Pickett,0,0,0,0,0,2019-20
Cardinals,Kyler Murray,3722,20,12,542,349,2019-20
Bears,Justin Fields,0,0,0,0,0,2019-20
Ravens,Lamar Jackson,3127,36,6,401,265,2019-20
Falcons,Marcus Mariota,731,1,0,121,74,2019-20
Rams,Baker Mayfield,3819,22,21,534,317,2019-20
Rams,Matthew Stafford,2499,19,5,291,187,2019-20
Commanders,Taylor Heinicke,305,1,3,57,49,2019-20
Colts,Carson Wentz,4039,27,7,607,388,2019-20
Jets,Zach Wilson,0,0,0,0,0,2019-20
49ers,Brock Purdy,0,0,0,0,0,2019-20
Steelers,Mitchell Trubisky,1930,17,10,267,193,2019-20
Jets,Mike White,285,0,1,59,43,2019-20
Panthers,Sam Darnold,3024,19,13,441,273,2019-20
Browns,Deshaun Watson,4823,33,7,544,333,2019-20
Jets,Joe Flacco,1822,6,5,262,171,2019-20
Cowboys,Cooper Rush,145,0,1,35,23,2019-20
Saints,Jameis Winston,5109,33,30,626,408,2019-20
Patriols,Bailey Zappe,0,0,0,0,0,2019-20
Cardinals,Colt McCoy,375,1,1,55,40,2019-20
Panthers,PJ Walker,99,0,2,23,12,2019-20
Falcons,Desmond Ridder,0,0,0,0,0,2019-20
Dolphins,Teddy Bridgewater,3733,15,11,492,320,2019-20
Eagles,Gardner Minshew,2259,16,5,318,216,2019-20
Ravens,Tyler Huntley,0,0,0,0,0,2019-20
Raiders,Jarrett Stidham,14,0,1,4,2,2019-20
Colts  ,Sam Ehlinger,0,0,0,0,0,2019-20
Dolphins,Skylar Thompson,0,0,0,0,0,2019-20
Broncos,Brett Rypien,295,2,4,59,41,2019-20
Texans,Kyle Allen,610,4,1,84,60,2019-20
Cardinals,Trace McSorley,90,1,1,12,6,2019-20
Raiders,Joshua Dobbs,9,0,0,3,2,2019-20
Lions,David Blough,1040,4,6,174,94,2019-20
Rams,John Wolford,231,1,1,38,22,2019-20
Ravens,Anthony Brown,226,1,1,41,27,2019-20
Titans,Malik Willis,69,1,0,4,2,2019-20
Saints,Taysom Hill,928,4,2,121,88,2019-20
Colts,Nick Foles,878,10,8,202,202,2019-20
vikings,Nick Mullens,2617,12,12,326,216,2019-20
Packers,Jordan Love,0,0,0,0,0,2019-20
49ers,Trey Lance,0,0,0,0,0,2019-20
Bears,Trevor Siemian,35,0,1,5,3,2019-20
Commanders,Sam Howell,0,0,0,0,0,2019-20
Giants,Davis Webb,0,0,0,0,0,2019-20
Rams,Bryce Perkins,0,0,0,0,0,2019-20
Bears,Nathan Peterman,39,0,1,11,6,2019-20
Texans,Jeff Driskel,432,3,2,64,35,2019-20
Cardinals,Chris Streveler,0,0,0,0,0,2019-20
Colts,Jacob Eason,0,0,0,0,0,2019-20
Giants,Tyrod Taylor,2086,11,5,289,204,2019-20
Chargers,Chase Daniel,195,1,2,29,22,2019-20
